Date,Kp
2021-07-03 00:57:44,20
2021-07-03 01:57:44,20
2021-07-03 02:57:44,7
2021-07-03 03:57:44,7
2021-07-03 04:57:44,7
2021-07-03 05:57:44,13
2021-07-03 06:57:44,13
2021-07-03 07:57:44,13
2021-07-03 08:57:44,7
2021-07-03 09:57:44,7
2021-07-03 10:57:44,7
2021-07-03 11:57:44,10
2021-07-03 12:57:44,10
2021-07-03 13:57:44,10
2021-07-03 14:57:44,7
2021-07-03 15:57:44,7
2021-07-03 16:57:44,7
2021-07-03 17:57:44,3
2021-07-03 18:57:44,3
2021-07-03 19:57:44,3
2021-07-03 20:57:44,0
2021-07-03 21:57:44,0
2021-07-03 22:57:44,0
2021-07-03 23:57:44,3
2021-07-04 00:57:44,3
2021-07-04 01:57:44,3
2021-07-04 02:57:44,13
2021-07-04 03:57:44,13
2021-07-04 04:57:44,13
2021-07-04 05:57:44,7
2021-07-04 06:57:44,7
2021-07-04 07:57:44,7
2021-07-04 08:57:44,3
2021-07-04 09:57:44,3
2021-07-04 10:57:44,3
2021-07-04 11:57:44,3
2021-07-04 12:57:44,3
2021-07-04 13:57:44,3
2021-07-04 14:57:44,7
2021-07-04 15:57:44,7
2021-07-04 16:57:44,7
2021-07-04 17:57:44,3
2021-07-04 18:57:44,3
2021-07-04 19:57:44,3
2021-07-04 20:57:44,3
2021-07-04 21:57:44,3
2021-07-04 22:57:44,3
2021-07-04 23:57:44,20
2021-07-05 00:57:44,20
2021-07-05 01:57:44,20
2021-07-05 02:57:44,13
2021-07-05 03:57:44,13
2021-07-05 04:57:44,13
2021-07-05 05:57:44,10
2021-07-05 06:57:44,10
2021-07-05 07:57:44,10
2021-07-05 08:57:44,20
2021-07-05 09:57:44,20
2021-07-05 10:57:44,20
2021-07-05 11:57:44,20
2021-07-05 12:57:44,20
2021-07-05 13:57:44,20
2021-07-05 14:57:44,13
2021-07-05 15:57:44,13
2021-07-05 16:57:44,13
2021-07-05 17:57:44,27
2021-07-05 18:57:44,27
2021-07-05 19:57:44,27
2021-07-05 20:57:44,20
2021-07-05 21:57:44,20
2021-07-05 22:57:44,20
2021-07-05 23:57:44,20
2021-07-06 00:57:44,20
2021-07-06 01:57:44,20
2021-07-06 02:57:44,13
2021-07-06 03:57:44,13
2021-07-06 04:57:44,13
2021-07-06 05:57:44,23
2021-07-06 06:57:44,23
2021-07-06 07:57:44,23
2021-07-06 08:57:44,10
2021-07-06 09:57:44,10
2021-07-06 10:57:44,10
2021-07-06 11:57:44,27
2021-07-06 12:57:44,27
2021-07-06 13:57:44,27
2021-07-06 14:57:44,13
2021-07-06 15:57:44,13
2021-07-06 16:57:44,13
2021-07-06 17:57:44,17
2021-07-06 18:57:44,17
2021-07-06 19:57:44,17
2021-07-06 20:57:44,7
2021-07-06 21:57:44,7
2021-07-06 22:57:44,7
2021-07-06 23:57:44,10
2021-07-07 00:57:44,10
2021-07-07 01:57:44,10
2021-07-07 02:57:44,13
2021-07-07 03:57:44,13
2021-07-07 04:57:44,13
2021-07-07 05:57:44,17
2021-07-07 06:57:44,17
2021-07-07 07:57:44,17
2021-07-07 08:57:44,10
2021-07-07 09:57:44,10
2021-07-07 10:57:44,10
2021-07-07 11:57:44,7
2021-07-07 12:57:44,7
2021-07-07 13:57:44,7
2021-07-07 14:57:44,10
2021-07-07 15:57:44,10
2021-07-07 16:57:44,10
2021-07-07 17:57:44,13
2021-07-07 18:57:44,13
2021-07-07 19:57:44,13
2021-07-07 20:57:44,20
2021-07-07 21:57:44,20
2021-07-07 22:57:44,20
2021-07-07 23:57:44,13
2021-07-08 00:57:44,13
2021-07-08 01:57:44,13
2021-07-08 02:57:44,10
2021-07-08 03:57:44,10
2021-07-08 04:57:44,10
2021-07-08 05:57:44,17
2021-07-08 06:57:44,17
2021-07-08 07:57:44,17
2021-07-08 08:57:44,3
2021-07-08 09:57:44,3
2021-07-08 10:57:44,3
2021-07-08 11:57:44,7
2021-07-08 12:57:44,7
2021-07-08 13:57:44,7
2021-07-08 14:57:44,7
2021-07-08 15:57:44,7
2021-07-08 16:57:44,7
2021-07-08 17:57:44,10
2021-07-08 18:57:44,10
2021-07-08 19:57:44,10
2021-07-08 20:57:44,3
2021-07-08 21:57:44,3
2021-07-08 22:57:44,3
2021-07-08 23:57:44,17
2021-07-09 00:57:44,17
2021-07-09 01:57:44,17
2021-07-09 02:57:44,13
2021-07-09 03:57:44,13
2021-07-09 04:57:44,13
2021-07-09 05:57:44,10
