Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7,imf_DNS_8
2021-11-08 20:00:00,-14,8.76e-14,0.265560166,0.049926507,0,85.9,0.276266,0.0,0.466847826,0.979597192,-0.07795985061199531,0.0251332861013496,0.008379478285999626,0.0216202122072914,0.0021090423586612103,-0.08495547429154301,-0.017320306549319795,0.1729201194995563
2021-11-08 21:00:00,-7,3.3e-13,0.236514523,0.19113696,5,85.9,0.276266,0.024154589,0.466847826,0.979597192,0.07320237284956424,0.015314547709215814,0.008001424124365717,0.023946523240082528,-0.00038886117418494154,-0.0855191892096486,-0.01678712514868293,0.17336726760928817
2021-11-08 22:00:00,-12,6.07e-14,0.257261411,0.034213048,7,85.9,0.276266,0.033816425,0.466847826,0.979597192,-0.06129169881735206,-0.007026398369892536,0.007637634233497083,0.026282775151943417,-0.002898439082841507,-0.08605376166636101,-0.01625062533648069,0.1738135618874873
2021-11-08 23:00:00,-13,1.76e-13,0.261410788,0.101377312,7,85.9,0.276266,0.033816425,0.466847826,0.979597192,0.023962235902812153,-0.025048694171435827,0.0072693355902312805,0.028620988270710426,-0.005415947525309751,-0.08655874818194192,-0.015710854111379666,0.1742589962263133
2021-11-09 00:00:00,-18,1.91e-13,0.282157676,0.110351411,9,85.9,0.276278,0.043478261,0.466847826,0.979639742,0.03642512241309304,-0.028469007618354282,0.006877755171405841,0.030953182924220064,-0.007937642659590675,-0.08703370527665316,-0.015167858472046599,0.17470356451792576
2021-11-09 01:00:00,-19,8.69e-14,0.286307054,0.049494287,22,85.9,0.276278,0.106280193,0.466847826,0.979639742,-0.03767150780282476,-0.015137710353085252,0.006444520592706966,0.03327137944030886,-0.010459780643685551,-0.08747818947075654,-0.01462168541714784,0.1751472606544841
2021-11-09 02:00:00,-18,2.55e-13,0.282157676,0.147598388,18,85.9,0.276278,0.086956522,0.466847826,0.979639742,0.04816507580080677,-0.0027344696355246657,0.00595286202521611,0.03556759814681318,-0.012978617635595387,-0.08789175728451393,-0.014072381945349991,0.1755900785281479
2021-11-09 03:00:00,-19,1.35e-13,0.286307054,0.077376252,7,85.9,0.276278,0.033816425,0.466847826,0.979639742,-0.024252714138373082,-0.0003389454563083646,0.005386410278863284,0.03783385937156952,-0.01549040979332137,-0.08827396523818697,-0.01351999505531977,0.17603201203107677
2021-11-09 04:00:00,-18,5.63e-14,0.282157676,0.031673455,9,85.9,0.276278,0.043478261,0.466847826,0.979639742,-0.07019215241960906,0.00018192763081176754,0.0047287961635786024,0.040062183442414405,-0.01799141327486469,-0.0886243698520377,-0.012964571745723377,0.17647305505543004
2021-11-09 05:00:00,-21,3.19e-13,0.294605809,0.184626163,9,85.9,0.276278,0.043478261,0.466847826,0.979639742,0.07508936391218829,0.00824192731774979,0.0039636504892920695,0.042244590687184225,-0.02047788423822644,-0.08894252764632768,-0.01240615901522776,0.17691320149336753
